"module name","license","repository"
"@nestjs/schematics@10.1.3","MIT","https://github.com/nestjs/schematics"
"@nestjs/schematics@9.2.0","MIT","https://github.com/nestjs/schematics"
"@nestjs/swagger@7.4.0","MIT","https://github.com/nestjs/swagger"
"@nestjs/testing@10.3.10","MIT","https://github.com/nestjs/nest"
"@nft-folder/blockchain-connector@1.2.1","OLFL-1.3","git+https://gitlab.cc-asp.fraunhofer.de/silicon-economy/base/blockchainbroker/ethereum/projects/nft-folder/blockchain-connector"
"@ngtools/webpack@18.0.3","MIT","https://github.com/angular/angular-cli"
"@noble/curves@1.2.0","MIT","https://github.com/paulmillr/noble-curves"
"@noble/hashes@1.3.2","MIT","https://github.com/paulmillr/noble-hashes"
"@nodelib/fs.scandir@2.1.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.scandir"
"@nodelib/fs.stat@2.0.5","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.stat"
"@nodelib/fs.walk@1.2.8","MIT","https://github.com/nodelib/nodelib/tree/master/packages/fs/fs.walk"
"@npmcli/agent@2.2.2","ISC","https://github.com/npm/agent"
"@npmcli/fs@3.1.1","ISC","https://github.com/npm/fs"
"@npmcli/git@5.0.8","ISC","https://github.com/npm/git"
"@npmcli/installed-package-contents@2.1.0","ISC","https://github.com/npm/installed-package-contents"
"@npmcli/node-gyp@3.0.0","ISC","https://github.com/npm/node-gyp"
"@npmcli/package-json@5.2.0","ISC","https://github.com/npm/package-json"
"@npmcli/promise-spawn@7.0.2","ISC","https://github.com/npm/promise-spawn"
"@npmcli/redact@2.0.1","ISC","https://github.com/npm/redact"
"@npmcli/run-script@8.1.0","ISC","https://github.com/npm/run-script"
"@nrwl/angular@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/devkit@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/eslint-plugin-nx@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/jest@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/js@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/nest@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/node@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/tao@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/web@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/webpack@19.5.6","MIT","https://github.com/nrwl/nx"
"@nrwl/workspace@19.5.6","MIT","https://github.com/nrwl/nx"
"@nuxtjs/opencollective@0.3.2","MIT","https://github.com/nuxt-contrib/opencollective"
"@nx/angular@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/devkit@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/eslint-plugin@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/eslint@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/jest@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/js@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/linter@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/nest@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/node@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/nx-linux-x64-gnu@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/nx-linux-x64-musl@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/playwright@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/web@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/webpack@19.5.6","MIT","https://github.com/nrwl/nx"
"@nx/workspace@19.5.6","MIT","https://github.com/nrwl/nx"
"@octokit/auth-token@2.5.0","MIT","https://github.com/octokit/auth-token.js"
"@octokit/core@3.6.0","MIT","https://github.com/octokit/core.js"
"@octokit/endpoint@6.0.12","MIT","https://github.com/octokit/endpoint.js"
